Nro,CODIGO,X,Y,ALTURA,SITIO,FUENTE,CAMPAÑA,AÑO,FECHA,DATUM,ZONA,PROVINCIA,CANTON,PARROQUIA,DEMARCACION HIDROGRAFICA,CUENCA,SUBCUENCA, CODIGO UNIDAD HIDROGRAFICA PFAFSTETTER, UNIDAD HIDROGRAFICA PFAFSTETTER,TIPO DE MUESTRA,NUMERO DE ORDEN DE TRABAJO
319,DHJ-CBU-02,645663,9707533,0,SECTOR HDA. FATIMA,RIO BUCAY,CAMPAÑA 1,2013,25/10/2013,WGS84,17 S,GUAYAS,NARANJAL,NARANJAL,JUBONES,RIO NARANJAL,RIO NARANJAL,13958,CUENCA RIO SAN PABLO,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
320,DHJ-CBU-01,656960,9701882,69,SECTOR VIA 11 DE AGOSTO. CAP. AGUA POTABLE,RIO BUCAY,CAMPAÑA 1,2013,25/10/2013,WGS84,17 S,GUAYAS,NARANJAL,NARANJAL,JUBONES,RIO NARANJAL,RIO NARANJAL,13958,CUENCA RIO SAN PABLO,SIMPLE, 023-2013-SENAGUA-DNCA-STRH
321,DHP-SCUT-01,770528,9923293,3181,SECTOR MULALO ENTRADA AL COTOPAXI. ,RIO CUTUCHI,CAMPAÑA 1,2013,22/07/2013,WGS84,17 S,COTOPAXI,LATACUNGA,MULALO,PASTAZA,RIO PASTAZA,RIO CUTUCHI,499699,UNIDAD HIDROGRAFICA 499699,SIMPLE,003-2013-SENAGUA-DNCA-STRH
322,DHP-SCUT-02,751585,9917408,3432,SECTO PUCAHUAICO ,QUEBRADA PUCAHUYCO,CAMPAÑA 1,2013,22/07/2013,WGS84,17 S,COTOPAXI,LATACUNGA,TOACASO,PASTAZA,RIO PASTAZA,RIO CUTUCHI,499698,CUENCA RIO PUMACUNCHI,SIMPLE,003-2013-SENAGUA-DNCA-STRH
323,DHP-SCUT-07,765092,9895456,2746,EN LA BOCATOMA DEL CANAL LATACUNGA SALCEDO AMBATO,RIO PUMACUNCHI,CAMPAÑA 1,2013,22/07/2013,WGS84,17 S,COTOPAXI,LATACUNGA,LATACUNGA,PASTAZA,RIO PASTAZA,RIO CUTUCHI,499697,UNIDAD HIDROGRAFICA 499697,SIMPLE,003-2013-SENAGUA-DNCA-STRH
324,DHP-SCUT-06,765455,9895741,2743,EN LA BOCATOMA DEL CANAL LATACUNGA SALCEDO AMBATO,RIO CUTUCHI,CAMPAÑA 1,2013,22/07/2013,WGS84,17 S,COTOPAXI,LATACUNGA,LATACUNGA,PASTAZA,RIO PASTAZA,RIO CUTUCHI,499697,UNIDAD HIDROGRAFICA 499697,SIMPLE,003-2013-SENAGUA-DNCA-STRH
325,DHP-SCUT-04,763181,9903432,2846,EN EL PUENTE VIA SAQUISILI,RIO PUMACUNCHI,CAMPAÑA 1,2013,22/07/2013,WGS84,17 S,COTOPAXI,LATACUNGA,GUAITACAMA (GUAYTACAMA),PASTAZA,RIO PASTAZA,RIO CUTUCHI,499698,CUENCA RIO PUMACUNCHI,SIMPLE,003-2013-SENAGUA-DNCA-STRH
326,DHP-SCUT-03,775067,9908344,3051,SECTOR SAN LUIS,RIO TULUGCHI,CAMPAÑA 1,2013,23/07/2013,WGS84,17 S,COTOPAXI,LATACUNGA,ALAQUES (ALAQUEZ),PASTAZA,RIO PASTAZA,RIO CUTUCHI,499699,UNIDAD HIDROGRAFICA 499699,SIMPLE,003-2013-SENAGUA-DNCA-STRH
327,DHP-SCUT-05-2013,765915,9882526,2616,SECTOR COMPLEJO BALNEARIO NAGSICHE,RIO NAGSICHE,CAMPAÑA 1,2013,23/07/2013,WGS86,17 S,COTOPAXI,SALCEDO,SAN MIGUEL,PASTAZA,RIO PASTAZA,RIO CUTUCHI,499696,CUENCA RIO NAGSICHE,SIMPLE,003-2013-SENAGUA-DNCA-STRH
328,DHP-SCUT-10,769722,9881125,2556,EN LAS MINAS ANTES DE JUNTARCE AL RIO CUTUCHI.,RIO YANAYACU,CAMPAÑA 1,2013,23/07/2013,WGS84,17 S,TUNGURAHUA,SANTIAGO DE PILLARO,SAN ANDRES,PASTAZA,RIO PASTAZA,RIO CUTUCHI,499694,CUENCA RIO YANAYACU,SIMPLE,003-2013-SENAGUA-DNCA-STRH
329,DHP-SCUT-08-2013,788294,9880114,3605,EN LA CAPTACION PARA TRASBASE A LA LAGUNA DE PISAYAMBO ,RIO TALATAG,CAMPAÑA 1,2013,24/07/2013,WGS84,17 S,TUNGURAHUA,SANTIAGO DE PILLARO,SAN JOSE DE POALO,PASTAZA,RIO PASTAZA,RIO CUTUCHI,499694,CUENCA RIO YANAYACU,SIMPLE,003-2013-SENAGUA-DNCA-STRH
330,DHP-SCUT-10,770459,9878828,2530,EN GUAPANTE; SITIO COMPLEJO AGUA AZUL,RIO CUTUCHI,CAMPAÑA 1,2013,24/07/2013,WGS84,17 S,TUNGURAHUA,SANTIAGO DE PILLARO,SAN ANDRES,PASTAZA,RIO PASTAZA,RIO CUTUCHI,499693,UNIDAD HIDROGRAFICA 499693,SIMPLE,003-2013-SENAGUA-DNCA-STRH
331,DHP-SAMB-04,772548,9863516,2276,SECTOR  LAS VIÑAS EN EL PUENTE CARRETERO.,RIO AMBATO,CAMPAÑA 1,2013,24/07/2013,WGS84,17 S,TUNGURAHUA,AMBATO,PICAIGUA,PASTAZA,RIO PASTAZA,RIO AMBATO,499692,CUENCA RIO AMBATO,SIMPLE,003-2013-SENAGUA-DNCA-STRH
332,DHP-SAMB-07,772728,9863220,2266,SECTOR  LAS VIÑAS EN EL PUENTE CARRETERO.,RIO PACHANLICA,CAMPAÑA 1,2013,24/07/2013,WGS84,17 S,TUNGURAHUA,SAN PEDRO DE PELILEO,CHIQUICHA (CAB EN CHIQUICHA GRANDE),PASTAZA,RIO PASTAZA,RIO AMBATO,499692,CUENCA RIO AMBATO,SIMPLE,003-2013-SENAGUA-DNCA-STRH
333,DHP-SAMB-01,737646,9843650,3988,SECTOR POGYOS EN LOS DESHIELOS DEL CHIMBORAZO,QUEBRADA TARUGAYACU,CAMPAÑA 1,2013,25/07/2013,WGS84,17 S,TUNGURAHUA,AMBATO,PILAGUIN (PILAHUIN),PASTAZA,RIO PASTAZA,RIO AMBATO,499692,CUENCA RIO AMBATO,SIMPLE,003-2013-SENAGUA-DNCA-STRH
334,DHP-SAMB-02,743503,9866016,3720,AGUAS ABAJO DEL EMBALSE CHIQUIURCO,RIO CALAMACA,CAMPAÑA 1,2013,25/07/2013,WGS84,17 S,TUNGURAHUA,AMBATO,SAN FERNANDO (PASA SAN FERNANDO),PASTAZA,RIO PASTAZA,RIO AMBATO,499692,CUENCA RIO AMBATO,SIMPLE,003-2013-SENAGUA-DNCA-STRH
335,DHP-SAMB-05,758307,9841034,3276,EN EL SECTOR DE MOCHAPATA ESTACION HIDROMETRICA.,RIO MOCHA,CAMPAÑA 1,2013,25/07/2013,WGS84,17 S,TUNGURAHUA,MOCHA,MOCHA,PASTAZA,RIO PASTAZA,RIO AMBATO,499692,CUENCA RIO AMBATO,SIMPLE,003-2013-SENAGUA-DNCA-STRH
336,DHP-SAMB-06,768064,9851647,2703,SECTOR CEVALLOS EN LA BOCATOMA PARA RIEGO.,RIO PACHANLICA,CAMPAÑA 1,2013,25/07/2013,WGS84,17 S,TUNGURAHUA,CEVALLOS,CEVALLOS,PASTAZA,RIO PASTAZA,RIO AMBATO,499692,CUENCA RIO AMBATO,SIMPLE,003-2013-SENAGUA-DNCA-STRH
337,DHP-SAMB-03,749969,9858079,,EN LA BOCATOMA PARA RIEGO Y CONSUMO HUMANO DE LA CIUDAD DE AMBATO,RIO AMBATO,CAMPAÑA 1,2013,25/07/2013,WGS84,17 S,TUNGURAHUA,AMBATO,PILAGUIN (PILAHUIN),PASTAZA,RIO PASTAZA,RIO AMBATO,499692,CUENCA RIO AMBATO,SIMPLE,003-2013-SENAGUA-DNCA-STRH
338,DHP-SPAT-01,776307,9855931,1993, SECTOR LA CLEMENTINA EN EL PUENTE CARRETERO,RIO PATATE,CAMPAÑA 1,2013,26/07/2013,WGS84,17 S,TUNGURAHUA,PATATE,PATATE,PASTAZA,RIO PASTAZA,RIO PATATE,499691,UNIDAD HIDROGRAFICA 499691,SIMPLE,003-2013-SENAGUA-DNCA-STRH
339,DHP-SPAT-02,778716,9846879,1957,SECTOR SAN PEDRO DE PELILEO EN EL PINGÜE.,RIO PATATE,CAMPAÑA 1,2013,26/07/2013,WGS84,17 S,TUNGURAHUA,SAN PEDRO DE PELILEO,PELILEO,PASTAZA,RIO PASTAZA,RIO PATATE,499691,UNIDAD HIDROGRAFICA 499691,SIMPLE,003-2013-SENAGUA-DNCA-STRH
340,DHP-SCHA-11,781078,9844584,1911,EN PUENTE CARRETERO LAS JUNTAS VIA AMBATO-BAÑOS,RIO CHAMBO,CAMPAÑA 1,2013,26/07/2013,WGS84,17 S,TUNGURAHUA,SAN PEDRO DE PELILEO,PELILEO,PASTAZA,RIO PASTAZA,RIO CHAMBO,499681,UNIDAD HIDROGRAFICA 499681,SIMPLE,003-2013-SENAGUA-DNCA-STRH
341,DHP-CPAST-01,785401,9845631,1776,SECTOR POR EL PUENTE SAN MARTIN ATRAZ DEL ZOOLOGICO,RIO PASTAZA,CAMPAÑA 1,2013,26/07/2013,WGS84,17 S,TUNGURAHUA,BAÑOS DE AGUA SANTA,BAÑOS DE AGUA SANTA,PASTAZA,RIO PASTAZA,RIO PASTAZA MEDIO,499679,UNIDAD HIDROGRAFICA 499679,SIMPLE,003-2013-SENAGUA-DNCA-STRH
342,DHP-SCHA-10,757155,9826155,3077,SECTOR TOMA SAN ISIDRO,RIO PATULU,CAMPAÑA 1,2013,05/08/2013,WGS84,17 S,CHIMBORAZO,GUANO,SAN ISIDRO DE PATULU,PASTAZA,RIO PASTAZA,RIO CHAMBO,499684,CUENCA RIO GUANO,SIMPLE, 004-2013-SENAGUA-DNCA-STRH
343,DHP-SCHA-05,764520,9810143,2602,ANTES DE JUNTARSE AL RIO CHAMBO EN EL PUENTE EL PANTAÑO,RIO CHIBUNGA,CAMPAÑA 1,2013,05/08/2013,WGS84,17 S,CHIMBORAZO,RIOBAMBA,SAN LUIS,PASTAZA,RIO PASTAZA,RIO CHAMBO,499686,CUIENCA RIO CHIBUNGA,SIMPLE, 004-2013-SENAGUA-DNCA-STRH
344,DHP-SCHA-08,768607,9816767,2492,EN PUENTE CARRETERO VIA QUIMIAG.,RIO CHAMBO,CAMPAÑA 1,2013,05/08/2013,WGS84,17 S,CHIMBORAZO,RIOBAMBA,CUBIJIES,PASTAZA,RIO PASTAZA,RIO CHAMBO,499685,UNIDAD HIDROGRAFICA 499685,SIMPLE, 004-2013-SENAGUA-DNCA-STRH
345,DHP-SCHA-09,765602,9821708,2609,EN LA BOCATOMA DE CANAL DE RIEGO CHIBUNGA-PUNGALES,RIO GUANO,CAMPAÑA 1,2013,05/08/2013,WGS84,17 S,CHIMBORAZO,GUANO,GUANO,PASTAZA,RIO PASTAZA,RIO CHAMBO,499684,CUENCA RIO GUANO,SIMPLE, 004-2013-SENAGUA-DNCA-STRH
346,DHP-SCHA-07,746200,9810669,3240,SECTOR CAJABAMBA,RIO SICALPA,CAMPAÑA 1,2013,06/08/2013,WGS84,17 S,CHIMBORAZO,COLTA,VILLA LA UNION (CAJABAMBA),PASTAZA,RIO PASTAZA,RIO CHAMBO,499686,CUIENCA RIO CHIBUNGA,SIMPLE, 004-2013-SENAGUA-DNCA-STRH
347,DHP-SCHA-01,766732,9750984,3739,A LA SALIDA DE LAS LAGUNAS DE OSOGOCHE EN LA ESTACION DEL INAMHI,RIO OZOGOCHE,CAMPAÑA 1,2013,06/08/2013,WGS84,17 S,CHIMBORAZO,ALAUSI,ACHUPALLAS,PASTAZA,RIO PASTAZA,RIO CHAMBO,499689,UNIDAD HIDROGRAFICA 499689,SIMPLE, 004-2013-SENAGUA-DNCA-STRH
348,DHP-SCHA-03,760343,9792036,2909,ANTES DE JUNTARSE AL RIO CHAMBO EN EL PUENTE DE MADERA.,RIO GUAMOTE,CAMPAÑA 1,2013,06/08/2013,WGS84,17 S,CHIMBORAZO,GUAMOTE,GUAMOTE,PASTAZA,RIO PASTAZA,RIO CHAMBO,499688,CUENCA RIO GUAMOTE,SIMPLE, 004-2013-SENAGUA-DNCA-STRH
349,DHP-SCHA-04,764764,9792846,2709,EN LA BOCATOMA DEL RIO CHAMBO,RIO CHAMBO,CAMPAÑA 1,2013,06/08/2013,WGS84,17 S,CHIMBORAZO,GUAMOTE,CEBADAS,PASTAZA,RIO PASTAZA,RIO CHAMBO,499687,UNIDAD HIDROGRAFICA 497687,SIMPLE, 004-2013-SENAGUA-DNCA-STRH
350,DHP-SCHA-06,744635,9826503,3465,SECTOR SANTA TERESITA DE GUABUG,RIO CHIMBORAZO,CAMPAÑA 1,2013,07/08/2013,WGS84,17 S,CHIMBORAZO,RIOBAMBA,SAN JUAN,PASTAZA,RIO PASTAZA,RIO PASTAZA MEDIO,499686,CUIENCA RIO CHIBUNGA,SIMPLE, 004-2013-SENAGUA-DNCA-STRH
351,DHP-CPAST-02,789413,9845669,1704,EN EL PUENTE CARRETERO VIA BAÑOS - ULBA,RIO ULBA,CAMPAÑA 1,2013,07/08/2013,WGS84,17 S,TUNGURAHUA,BAÑOS DE AGUA SANTA,BAÑOS DE AGUA SANTA,PASTAZA,RIO PASTAZA,RIO PASTAZA MEDIO,499679,UNIDAD HIDROGRAFICA 499679,SIMPLE, 004-2013-SENAGUA-DNCA-STRH
352,DHP-CPAST-03,800555,9845049,1509,EN EL PUENTE CARRETERO VIA BAÑOS-PUYO,RIO VERDE,CAMPAÑA 1,2013,07/08/2013,WGS84,17 S,TUNGURAHUA,BAÑOS DE AGUA SANTA,RIO VERDE,PASTAZA,RIO PASTAZA,RIO PASTAZA MEDIO,499679,UNIDAD HIDROGRAFICA 499679,SIMPLE, 004-2013-SENAGUA-DNCA-STRH
353,DHP-CPAST-04,810696,9849877,1541,SECTOR COMUNIDAD AZUAY EN EL PUENTE COLGANTE.,RIO TOPO,CAMPAÑA 1,2013,08/08/2013,WGS84,17 S,TUNGURAHUA,BAÑOS DE AGUA SANTA,RIO NEGRO,PASTAZA,RIO PASTAZA,RIO PASTAZA MEDIO,499679,UNIDAD HIDROGRAFICA 499679,SIMPLE, 004-2013-SENAGUA-DNCA-STRH
354,DHP-CPAST-07,832682,9842221,1015,SECTOR FATIMA,RIO PUYO BLANCO,CAMPAÑA 1,2013,08/08/2013,WGS84,17 S,PASTAZA,PASTAZA,FATIMA,PASTAZA,RIO PASTAZA,RIO PASTAZA MEDIO,496677,UNIDAD HIDROGRAFICA 499677,SIMPLE, 004-2013-SENAGUA-DNCA-STRH
355,DHP-CPAST-08,837294,9831018,903,SECTOR UNION BASE EN EL PUENTE COLGANTE.,RIO PUYO FINAL,CAMPAÑA 1,2013,08/08/2013,WGS84,18 S,PASTAZA,PASTAZA,PUYO,PASTAZA,RIO PASTAZA,RIO PASTAZA MEDIO,496677,UNIDAD HIDROGRAFICA 499677,SIMPLE, 004-2013-SENAGUA-DNCA-STRH
356,DHP-CPAST-05,816782,9839259,1112,EN EL PUENTE COLGANTE VIA MERA-CUMANDA.,RIO PASTAZA,CAMPAÑA 1,2013,09/08/2013,WGS84,17 S,MORONA SANTIAGO,PALORA,CUMANDA (CAB EN COLONIA AGRICOLA SEVILLA DEL ORO),PASTAZA,RIO PASTAZA,RIO PASTAZA MEDIO,499679,UNIDAD HIDROGRAFICA 499679,SIMPLE, 004-2013-SENAGUA-DNCA-STRH
357,DHP-CPAST-06,822329,9837531,1078,EN EL PUENTE CARRETERO VIA MERA-SHELL,RIO ALPAYACU,CAMPAÑA 1,2013,09/08/2013,WGS84,17 S,PASTAZA,MERA,MERA,PASTAZA,RIO PASTAZA,RIO PASTAZA MEDIO,499679,UNIDAD HIDROGRAFICA 499679,SIMPLE, 004-2013-SENAGUA-DNCA-STRH
358,DHP-SBOB-01,860809,9822929,477,SECTOR CANELOS,RIO BOBONAZA,CAMPAÑA 1,2013,09/08/2013,WGS84,17 S,PASTAZA,PASTAZA,CANELOS,PASTAZA,RIO PASTAZA,RIO BOBONAZA,499669,UNIDAD HIDROGRAFICA 499669,SIMPLE, 004-2013-SENAGUA-DNCA-STRH
359,BEP-PT-EC-02,652567,9603282,1150,ZARUMA,RÍO SALADO,CAMPAÑA 3,2013,26/11/2013,WGS84,17 S,EL ORO,ZARUMA,HUERTAS,PUYANGO_CATAMAYO,PUYANGO,RÍO PINDO,13929,UNIDAD HIDROGRÁFICA 13929,SIMPLE,034-2013-SENAGUA-DNCA-STRH
360,BEP-PT-EC-06,647915,9587822,779,SAN ROQUE,RÍO PIÑAS,CAMPAÑA 3,2013,22/11/2013,WGS84,17 S,EL ORO,PIÑAS,SAN ROQUE (AMBROSIO MALDONADO),PUYANGO_CATAMAYO,PUYANGO,RÍO PINDO,13927,UNIDAD HIDROGRÁFICA 13927,SIMPLE,034-2013-SENAGUA-DNCA-STRH
361,BEP-PT-EC-09,651686,9587788,588,PUENTE NEGRO,RÍO AMARILLO,CAMPAÑA 3,2013,21/11/2013,WGS84,17 S,EL ORO,PORTOVELO,PORTOVELO,PUYANGO_CATAMAYO,PUYANGO,RÍO PINDO,13929,UNIDAD HIDROGRÁFICA 13929,SIMPLE,034-2013-SENAGUA-DNCA-STRH
362,BEP-PT-EC-10,650208,9583364,549,LAS JUNTAS ,RÍO AMARILLO,CAMPAÑA 3,2013,19/11/2013,WGS84,17 S,EL ORO,PORTOVELO,PORTOVELO,PUYANGO_CATAMAYO,PUYANGO,RÍO PINDO,13929,UNIDAD HIDROGRÁFICA 13929,SIMPLE,034-2013-SENAGUA-DNCA-STRH
363,BEP-PT-EC-11,650350,9583327,548,LAS JUNTAS ,RÍO PINDO,CAMPAÑA 3,2013,20/11/2013,WGS84,17 S,LOJA,CHAGUARPAMBA,EL ROSARIO,PUYANGO_CATAMAYO,PUYANGO,RÍO PINDO,13927,UNIDAD HIDROGRÁFICA 13927,SIMPLE,034-2013-SENAGUA-DNCA-STRH
364,BEP-PT-EC-12,618617,9580389,500,MARCABELÍ,RÍO MARCABELI,CAMPAÑA 3,2013,25/11/2013,WGS84,17 S,EL ORO,MARCABELI,MARCABELI,PUYANGO_CATAMAYO,PUYANGO,RÍO PUYANGO MEDIO,13925,UNIDAD HIDROGRÁFICA 13925,SIMPLE,034-2013-SENAGUA-DNCA-STRH
365,BEP-PT-EC-14,601929,9570751,278,BOSQUE PETRIFICADO,RÍO PUYANGO,CAMPAÑA 3,2013,27/11/2013,WGS84,17 S,EL ORO,LAS LAJAS,LA LIBERTAD,PUYANGO_CATAMAYO,PUYANGO,RÍO PUYANGO BAJO,13925,UNIDAD HIDROGRÁFICA 13925,COMPUESTA 24 H,034-2013-SENAGUA-DNCA-STRH
